id,chapter,title,start_at(JST),end_at(JST),event_type,main_chara,chara_type,ban,attr,pt_top10,pt_lines_1,pt_lines_10,pt_lines_20,pt_lines_50,pt_lines_100,pt_lines_200,pt_lines_300,pt_lines_400,pt_lines_500,pt_lines_1000,pt_lines_2000,pt_lines_3000,pt_lines_5000,pt_lines_10000,pt_lines_30000,pt_lines_50000,pt_lines_100000,pt_lines_300000
140,2,キミと、セカイの始まりで,2024/08/19 20:00,2024/08/21 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,rin,-,126901227 125001227 124594699 122700000 120071227 112500039 112272525 112271227 112270411 107371227,126901227,107371227,100201227,86861227,80305879,40631307,,,22830810,17014507,,3472405,2234850,1444614,,588867,338515,
140,3,キミと、セカイの始まりで,2024/08/21 20:00,2024/08/23 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,meiko,-,123021105 115624517 115108115 110505050 110501105 110500000 107851070 102171105 100217115 100001105,123021105,100001105,73292696,50251105,41000000,21001556,,,10271926,6519999,,1909250,1505212,1195725,,531525,308888,
140,4,キミと、セカイの始まりで,2024/08/23 20:00,2024/08/25 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,len,-,132648640 131977510 131919855 130217540 122702877 122700000 121227102 119148158 114469423 111481227,132648640,111481227,101227624,87701227,81819519,47626209,,,25702590,18349034,,3955566,2460906,1510388,,580628,329014,
140,5,キミと、セカイの始まりで,2024/08/25 20:00,2024/08/27 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,kaito,-,135008257 133000088 132713625 128800217 125250217 125214217 123217831 121711532 121700917 121123217,135008257,121123217,108236607,100000000,91249217,53619328,,,32904176,24693227,,5811094,3393360,1793082,,592858,329086,
140,6,キミと、セカイの始まりで,2024/08/27 20:00,2024/08/29 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,miku,-,133901831 128312539 125280831 123000039 120588939 120070831 118313939 117003939 115145365 113939831,133901831,113939831,108340309,103939393,100000364,61061402,,,36648617,27202890,,6851424,4127550,2305110,,702250,373671,
141,-,わんだほら～！？な肝だめし！,2024/08/31 15:00,2024/09/08 21:00,マラソン,"hnm, szk, emu, mfy, mzk",mix,emu,cool,270000909 250127827 220000909 209090127 200127909 165909909 165909909 154950909 150000909 150000909,270000909,150000909,106411478,64127909,50340889,21598892,16756559,13557812,12917650,9238448,4670689,3890471,3513110,2747373,1759347,1385594,825402,236860
142,-,鍛えてFLY！Muscle Training！,2024/09/10 15:00,2024/09/18 21:00,マラソン,"hrk, an, akt, tks, meiko(MMJ)",mix,hrk,happy,300001005 211121005 155171005 150001005 145001005 131761112 131631005 121051112 117217283 110051054,300001005,110051054,72831815,50260005,37564520,15000000,11988599,10050726,9376952,6699347,3733470,3355596,3145234,2466694,1592725,1250328,737068,209232
143,-,This moment with you !,2024/09/20 15:00,2024/09/28 21:00,マラソン,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,ick,mysterious,300000811 270000811 220000811 183100811 178700811 172180099 165937619 165920811 165590139 150000811,300000811,150000811,115089512,58797079,37232817,17462986,13254157,11572375,10961059,7931314,4175083,3658527,3369451,2647466,1704436,1352750,815778,241740
144,-,想いをのせて！Dream Stage,2024/09/30 15:00,2024/10/09 21:00,マラソン,"shiho, airi, toya, nene, ena",mix,nene,pure,309390930 277205251 272000000 231900720 220272022 201227720 201218720 201080720 200720720 180108720,309390930,180108720,149612525,117200439,97411017,44734579,35782789,31080340,29534753,22792233,10839649,8404855,7308828,6050490,3482320,2918208,1983300,703769
145,-,荊棘の道は何処へ,2024/10/12 18:00,2024/10/19 21:00,マラソン,"knd, mfy, ena, mzk, miku(25ji), rin(25ji), len(25ji), luka(25ji), meiko(25ji), kaito(25ji)",unit,mzk,cute,326834020 326605720 300000827 290430827 284300827 280000827 272000827 264430827 260250827 258270000,326834020,258270000,204300827,174300827,146761298,79217880,62100560,54300827,52325827,42274791,19160279,14503215,11082882,7997925,3287240,2754579,1862085,670740
